Districte,Sexe,Any_Naixement,Total
1,D,1906,1
1,D,1911,1
1,D,1912,3
1,D,1913,3
1,D,1914,7
1,D,1915,5
1,D,1916,10
1,D,1917,13
1,D,1918,27
1,D,1919,39
1,D,1920,45
1,D,1921,68
1,D,1922,87
1,D,1923,98
1,D,1924,106
1,D,1925,132
1,D,1926,134
1,D,1927,165
1,D,1928,183
1,D,1929,210
1,D,1930,195
1,D,1931,223
1,D,1932,222
1,D,1933,248
1,D,1934,225
1,D,1935,212
1,D,1936,249
1,D,1937,207
1,D,1938,185
1,D,1939,117
1,D,1940,247
1,D,1941,230
1,D,1942,188
1,D,1943,240
1,D,1944,256
1,D,1945,269
1,D,1946,264
1,D,1947,276
1,D,1948,288
1,D,1949,297
1,D,1950,278
1,D,1951,339
1,D,1952,296
1,D,1953,309
1,D,1954,308
1,D,1955,318
1,D,1956,297
1,D,1957,363
1,D,1958,369
1,D,1959,396
1,D,1960,356
1,D,1961,383
1,D,1962,395
1,D,1963,417
1,D,1964,464
1,D,1965,419
1,D,1966,416
1,D,1967,434
1,D,1968,427
1,D,1969,385
1,D,1970,453
1,D,1971,460
1,D,1972,404
1,D,1973,486
1,D,1974,494
1,D,1975,486
1,D,1976,480
1,D,1977,461
1,D,1978,421
1,D,1979,424
1,D,1980,443
1,D,1981,367
1,D,1982,360
1,D,1983,325
1,D,1984,375
1,D,1985,313
1,D,1986,310
1,D,1987,319
1,D,1988,264
1,D,1989,262
1,D,1990,228
1,D,1991,232
1,D,1992,229
1,D,1993,254
1,D,1994,239
1,D,1995,244
1,D,1996,236
1,D,1997,249
1,D,1998,243
1,D,1999,261
1,D,2000,245
1,D,2001,255
1,D,2002,269
1,D,2003,300
1,D,2004,302
1,D,2005,278
1,D,2006,310
1,D,2007,279
1,D,2008,285
1,D,2009,269
1,D,2010,276
1,D,2011,291
1,D,2012,286
1,D,2013,232
1,D,2014,218
1,D,2015,1
1,H,1914,4
1,H,1915,2
1,H,1916,8
1,H,1917,6
1,H,1918,11
1,H,1919,9
1,H,1920,15
1,H,1921,19
1,H,1922,30
1,H,1923,39
1,H,1924,46
1,H,1925,62
1,H,1926,59
1,H,1927,78
1,H,1928,104
1,H,1929,94
1,H,1930,114
1,H,1931,130
1,H,1932,135
1,H,1933,151
1,H,1934,132
1,H,1935,117
1,H,1936,148
1,H,1937,166
1,H,1938,142
1,H,1939,103
1,H,1940,183
1,H,1941,147
1,H,1942,157
1,H,1943,202
1,H,1944,208
1,H,1945,222
1,H,1946,235
1,H,1947,221
1,H,1948,276
1,H,1949,241
1,H,1950,235
1,H,1951,262
1,H,1952,263
1,H,1953,252
1,H,1954,274
1,H,1955,313
1,H,1956,290
1,H,1957,306
1,H,1958,348
1,H,1959,333
1,H,1960,338
1,H,1961,363
1,H,1962,383
1,H,1963,375
1,H,1964,395
1,H,1965,373
1,H,1966,359
1,H,1967,406
