"Ordre";"Anyo";"IdMaterial";"NomMaterial";"Quantitat";"Unitats"
"1";"2010";"20";"Bateries";"12";"Tones"
"2";"2010";"39";"Sòlids i Pastosos";"57";"Tones"
"3";"2012";"3";"Envasos";"4057";"Tones"
"4";"2004";"19";"Pneumàtics";"14";"Tones"
"5";"1995";"30";"Coure";"";"Tones"
"6";"1989";"2";"Paper";"";"Tones"
"7";"1986";"3";"Envasos";"";"Tones"
"8";"2015";"10";"Tèxtil";"344";"Tones"
"9";"2012";"11";"Vidre Pla";"285";"Tones"
"10";"2004";"12";"Ferralla";"558";"Tones"
"11";"2001";"13";"Fusta";"2649";"Tones"
"12";"2002";"36";"Aerosols";"";"Tones"
"13";"2017";"7";"Resta";"60747";"Tones"
"14";"2006";"9";"Fracció vegetal";"705";"Tones"
"15";"1998";"3";"Envasos";"";"Tones"
"16";"2007";"21";"Dissolvents";"7";"Tones"
"17";"2007";"40";"Medicaments";"13";"Tones"
"18";"2015";"2";"Paper";"3923";"Tones"
"19";"2007";"18";"RAEE A5: làmpares fluorescents";"13";"Tones"
"20";"2007";"30";"Coure";"";"Tones"
"21";"2004";"31";"RAEE A3: Televisors i monitors";"";"Tones"
"22";"1984";"10";"Tèxtil";"";"Tones"
"23";"1986";"17";"Medicaments i cosmètics";"";"Tones"
"24";"2012";"25";"Olis vegetals";"26";"Tones"
"25";"2011";"1";"Vidre";"3040";"Tones"
"26";"2018";"12";"Ferralla";"158";"Tones"
"27";"2015";"13";"Fusta";"1233";"Tones"
"28";"2006";"16";"Piles";"27";"Tones"
"29";"2010";"28";"Voluminosos";"4544";"Tones"
"30";"2007";"29";"Càpsules de cafè";"";"Tones"
"31";"2011";"41";"Porexpan";"14";"Tones"
"32";"2008";"42";"Radiografies";"1";"Tones"
"33";"2015";"14";"Runes";"3387";"Tones"
"34";"1987";"16";"Piles";"";"Tones"
"35";"2001";"34";"Àcids";"";"Tones"
"36";"2006";"37";"Reactius de laboratori";"";"Tones"
"37";"2018";"1";"Vidre";"2775";"Tones"
"38";"2017";"3";"Envasos";"2806";"Tones"
"39";"2005";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"";"Tones"
"40";"1992";"1";"Vidre";"735";"Tones"
"41";"2018";"9";"Fracció vegetal";"112";"Tones"
"42";"2010";"35";"Bases";"0";"Tones"
"43";"2001";"14";"Runes";"1822";"Tones"
"44";"2003";"10";"Tèxtil";"100";"Tones"
"45";"2007";"22";"RAEE A1: Aparells de fred, frigorífics...";"49";"Tones"
"46";"2004";"23";"RAEE A4: Ordinadors, aspiradores, joguines elèctriques i electròniques....";"121";"Tones"
"47";"1993";"25";"Olis vegetals";"";"Tones"
"48";"2017";"47";"RAEE FRA 2 (A3) Monitors i pantalles LED, CRT i altres";"51";"Tones"
"49";"2016";"23";"RAEE A4: Ordinadors, aspiradores, joguines elèctriques i electròniques....";"43";"Tones"
"50";"2012";"21";"Dissolvents";"4";"Tones"
"51";"2018";"16";"Piles";"0";"Tones"
"52";"1998";"7";"Resta";"80369";"Tones"
"53";"1998";"28";"Voluminosos";"";"Tones"
"54";"1995";"29";"Càpsules de cafè";"";"Tones"
"55";"1998";"17";"Medicaments i cosmètics";"";"Tones"
"56";"1995";"18";"RAEE A5: làmpares fluorescents";"";"Tones"
"57";"2016";"51";"RAEE FRA 6 (A4) Aparells petits d'informàtica i telecomunicacions ";"4";"Tones"
"58";"1996";"2";"Paper";"1383";"Tones"
"59";"2011";"12";"Ferralla";"166";"Tones"
"60";"2011";"31";"RAEE A3: Televisors i monitors";"107";"Tones"
"61";"2010";"7";"Resta";"67551";"Tones"
"62";"1999";"9";"Fracció vegetal";"";"Tones"
"63";"2005";"17";"Medicaments i cosmètics";"";"Tones"
"64";"2015";"42";"Radiografies";"0";"Tones"
"65";"2014";"18";"RAEE A5: làmpares fluorescents";"7";"Tones"
"66";"2003";"20";"Bateries";"25";"Tones"
"67";"2003";"39";"Sòlids i Pastosos";"";"Tones"
"68";"2016";"4";"Materia orgànica";"4897";"Tones"
"69";"2005";"25";"Olis vegetals";"9";"Tones"
"70";"2008";"13";"Fusta";"2367";"Tones"
"71";"2014";"30";"Coure";"0";"Tones"
"72";"2009";"36";"Aerosols";"1";"Tones"
"73";"2005";"15";"Tòners";"12";"Tones"
"74";"2017";"28";"Voluminosos";"5606";"Tones"
"75";"2018";"41";"Porexpan";"1";"Tones"
"76";"2012";"43";"Plàstic rígid";"70";"Tones"
"77";"1987";"9";"Fracció vegetal";"";"Tones"
"78";"1999";"16";"Piles";"";"Tones"
"79";"2009";"26";"Olis minerals";"26";"Tones"
"80";"2006";"27";"Altres residus especials";"28";"Tones"
"81";"2008";"2";"Paper";"10190";"Tones"
"82";"2005";"3";"Envasos";"2556";"Tones"
"83";"2002";"26";"Olis minerals";"15";"Tones"
"84";"1991";"28";"Voluminosos";"";"Tones"
"85";"2012";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"27";"Tones"
"86";"1986";"25";"Olis vegetals";"";"Tones"
"87";"2017";"35";"Bases";"1";"Tones"
"88";"2008";"14";"Runes";"2121";"Tones"
"89";"2017";"17";"Medicaments i cosmètics";"1";"Tones"
"90";"2006";"38";"Comburents";"";"Tones"
"91";"1991";"7";"Resta";"71728";"Tones"
"92";"2017";"15";"Tòners";"4";"Tones"
"93";"1999";"1";"Vidre";"1814";"Tones"
"94";"1993";"3";"Envasos";"";"Tones"
"95";"1996";"10";"Tèxtil";"";"Tones"
"96";"2018";"48";"RAEE FRA 3 (A5) Lampares i fluorescents";"2";"Tones"
"97";"2004";"4";"Materia orgànica";"841";"Tones"
"98";"2002";"18";"RAEE A5: làmpares fluorescents";"3";"Tones"
"99";"2017";"43";"Plàstic rígid";"43";"Tones"
"100";"1991";"17";"Medicaments i cosmètics";"";"Tones"
"101";"2007";"26";"Olis minerals";"15";"Tones"
"102";"2007";"32";"RAEE A2: Grans electrodomèstics assecadores, rentadores...";"4";"Tones"
"103";"2006";"2";"Paper";"9341";"Tones"
"104";"1984";"25";"Olis vegetals";"";"Tones"
"105";"2000";"7";"Resta";"82742";"Tones"
"106";"2003";"14";"Runes";"1555";"Tones"
"107";"1997";"1";"Vidre";"1700";"Tones"
"108";"2001";"38";"Comburents";"";"Tones"
"109";"2018";"4";"Materia orgànica";"4088";"Tones"
"110";"1998";"25";"Olis vegetals";"";"Tones"
"111";"2006";"4";"Materia orgànica";"4460";"Tones"
"112";"1986";"7";"Resta";"50894";"Tones"
"113";"2001";"10";"Tèxtil";"";"Tones"
"114";"1995";"22";"RAEE A1: Aparells de fred, frigorífics...";"";"Tones"
"690";"2008";"35";"Bases";"0";"Tones"
"115";"2017";"50";"RAEE FRA 5 (A4) Petits aparells sense dimensió superior a 50 cm";"34";"Tones"
"116";"1989";"16";"Piles";"";"Tones"
"117";"1993";"28";"Voluminosos";"";"Tones"
"118";"2003";"17";"Medicaments i cosmètics";"";"Tones"
"119";"2006";"12";"Ferralla";"487";"Tones"
"120";"2004";"9";"Fracció vegetal";"864";"Tones"
"121";"2013";"31";"RAEE A3: Televisors i monitors";"63";"Tones"
"122";"2009";"19";"Pneumàtics";"24";"Tones"
"123";"1994";"2";"Paper";"877";"Tones"
"124";"1991";"3";"Envasos";"";"Tones"
"125";"2017";"11";"Vidre Pla";"301";"Tones"
"126";"1995";"21";"Dissolvents";"";"Tones"
"127";"2012";"7";"Resta";"60046";"Tones"
"128";"1995";"26";"Olis minerals";"";"Tones"
"129";"2011";"4";"Materia orgànica";"7131";"Tones"
"130";"2007";"15";"Tòners";"3";"Tones"
"131";"1984";"17";"Medicaments i cosmètics";"";"Tones"
"132";"2010";"25";"Olis vegetals";"29";"Tones"
"133";"2004";"27";"Altres residus especials";"14";"Tones"
"134";"2009";"1";"Vidre";"3266";"Tones"
"135";"2003";"3";"Envasos";"1625";"Tones"
"136";"2003";"13";"Fusta";"834";"Tones"
"137";"2008";"38";"Comburents";"0";"Tones"
"138";"2002";"40";"Medicaments";"11";"Tones"
"139";"2016";"30";"Coure";"1";"Tones"
"140";"2004";"36";"Aerosols";"";"Tones"
"141";"2012";"18";"RAEE A5: làmpares fluorescents";"4";"Tones"
"142";"2012";"28";"Voluminosos";"1866";"Tones"
"143";"2002";"30";"Coure";"";"Tones"
"144";"1992";"9";"Fracció vegetal";"";"Tones"
"145";"1989";"10";"Tèxtil";"";"Tones"
"146";"2001";"16";"Piles";"38";"Tones"
